a,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
aaron,[27]
abandoned,"[2, 27]"
abate,"[5, 6, 8, 9, 16, 17, 21, 22, 24, 26, 27]"
abed,"[2, 4, 5, 6, 9, 19, 22, 27]"
abhorred,"[2, 7, 16, 22, 26, 27]"
abjectly,[27]
able,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
abominable,"[4, 7, 8, 10, 11, 12, 16, 18, 25, 27]"
abroad,"[1, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 26, 27]"
abused,"[2, 3, 4, 5, 6, 9, 13, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27]"
accept,"[1, 5, 7, 9, 10, 11, 12, 19, 20, 21, 24, 26, 27]"
accitd,[27]
accompanied,"[5, 7, 8, 13, 21, 27]"
accompany,"[5, 7, 27]"
accomplish,"[1, 2, 5, 6, 9, 12, 17, 20, 24, 27]"
account,"[5, 6, 7, 8, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 26, 27]"
accursed,"[6, 7, 8, 9, 10, 12, 21, 22, 27]"
accuse,"[2, 3, 5, 6, 10, 11, 13, 16, 18, 20, 21, 24, 25, 26, 27]"
acheron,[27]
achieve,"[2, 3, 5, 7, 8, 9, 10, 11, 15, 19, 20, 24, 26, 27]"
acquaint,"[2, 3, 4, 5, 6, 7, 8, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27]"
act,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
actaeon,"[25, 27]"
action,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
ad,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
added,"[6, 8, 9, 13, 14, 16, 17, 18, 20, 22, 27]"
adder,"[3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 20, 21, 22, 26, 27]"
adjudged,"[11, 12, 18, 23, 27]"
admit,"[2, 3, 5, 6, 8, 9, 11, 13, 15, 17, 18, 21, 23, 24, 25, 26, 27]"
admitted,"[2, 3, 5, 8, 11, 18, 21, 27]"
ado,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
adopted,"[4, 7, 12, 16, 18, 27]"
adore,"[2, 3, 6, 16, 17, 21, 27]"
adorest,[27]
adorn,"[3, 6, 10, 13, 20, 21, 27]"
adulteres,[27]
advance,"[1, 2, 3, 5, 8, 9, 10, 11, 13, 14, 15, 16, 17, 21, 22, 25, 26, 27]"
advanced,"[2, 5, 8, 15, 16, 22, 26, 27]"
advantage,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 24, 25, 26, 27]"
adventurou,"[7, 9, 26, 27]"
advice,"[1, 2, 3, 6, 8, 9, 11, 15, 16, 18, 19, 20, 21, 24, 26, 27]"
advise,"[2, 3, 5, 6, 7, 8, 9, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27]"
advised,"[5, 6, 7, 8, 9, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27]"
aemiliu,"[23, 27]"
aenea,"[3, 6, 11, 14, 26, 27]"
aetna,[27]
affect,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
affected,"[1, 5, 6, 11, 13, 16, 17, 21, 25, 27]"
afflict,"[1, 3, 4, 5, 6, 10, 11, 12, 13, 15, 16, 17, 18, 19, 21, 22, 25, 26, 27]"
afflicted,"[1, 6, 13, 15, 18, 22, 25, 27]"
afford,"[2, 7, 8, 10, 11, 12, 13, 17, 19, 20, 21, 22, 23, 27]"
afoot,"[2, 5, 7, 8, 9, 11, 12, 14, 16, 18, 20, 26, 27]"
afterward,"[2, 3, 6, 8, 14, 18, 20, 21, 23, 24, 25, 26, 27]"
age,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
aged,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 26, 27]"
ago,"[2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 26, 27]"
agree,"[3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 20, 22, 23, 24, 25, 26, 27]"
agreeing,"[5, 18, 26, 27]"
ah,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
aid,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
aim,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
air,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
ajax,"[3, 6, 11, 16, 17, 27]"
ala,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
alarbu,[27]
alcide,"[3, 10, 15, 24, 27]"
alehouse,"[9, 11, 19, 20, 27]"
alike,"[3, 5, 6, 9, 10, 12, 13, 15, 17, 18, 22, 23, 27]"
alive,"[2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 24, 27]"
ally,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27]"
alm,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
almost,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27]"
aloft,"[3, 10, 11, 15, 21, 27]"
alone,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
along,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
aloof,"[1, 7, 10, 11, 12, 16, 22, 24, 26, 27]"
